grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_958,0
NDGRD_959,0
NDGRD_960,0
NDGRD_961,0
NDGRD_962,0.756212672
NDGRD_963,1.898870733
NDGRD_964,0
NDGRD_965,163.2249679
NDGRD_966,0
NDGRD_967,0
NDGRD_968,258.5398502
NDGRD_969,0
NDGRD_970,288.5072707
NDGRD_971,299.0844898
NDGRD_972,0
NDGRD_973,0
NDGRD_974,0
NDGRD_975,0
NDGRD_976,0
NDGRD_977,0
NDGRD_978,0
NDGRD_979,1.784655352
NDGRD_980,0
NDGRD_981,0
NDGRD_982,0
NDGRD_983,0
NDGRD_984,0
NDGRD_985,0
NDGRD_986,0
NDGRD_987,0
NDGRD_988,2.571732332
NDGRD_989,54.13606065
NDGRD_990,22.33853489
NDGRD_991,0.330871332
NDGRD_992,24.43926583
NDGRD_993,3.863800685
NDGRD_994,19.33896124
NDGRD_995,0
NDGRD_996,3.355966551
NDGRD_997,1349.394231
NDGRD_998,13.05632924
NDGRD_999,0
NDGRD_1000,0
NDGRD_1001,0
NDGRD_1002,0
NDGRD_1003,0
NDGRD_1004,192.5889458
NDGRD_1005,45.6557871
NDGRD_1006,0
NDGRD_1007,1.280961709
NDGRD_1008,6.509134573
NDGRD_1009,6.312056507
NDGRD_1010,2.004632368
NDGRD_1011,0
NDGRD_1012,495.6145706
NDGRD_1013,145.3663936
NDGRD_1014,8.718524081
NDGRD_1015,0
NDGRD_1016,0
NDGRD_1017,0
NDGRD_1018,0
NDGRD_1019,0
NDGRD_1020,0
NDGRD_1021,0
NDGRD_1022,0
NDGRD_1023,0
NDGRD_1024,0
NDGRD_1025,0
NDGRD_1026,0
NDGRD_1027,34.5088758
NDGRD_1028,13.41551287
NDGRD_1029,346.1343501
NDGRD_1030,1050.378506
NDGRD_1031,0
NDGRD_1032,4.958619494
NDGRD_1033,0.830794922
NDGRD_1034,0
NDGRD_1035,37.16341843
NDGRD_1036,0
NDGRD_1037,0
NDGRD_1038,0
NDGRD_1039,0
NDGRD_1040,0
NDGRD_1041,0
NDGRD_1042,0
NDGRD_1043,0
NDGRD_1044,0
NDGRD_1045,0
NDGRD_1046,0
NDGRD_1047,0.682847319
NDGRD_1048,0
NDGRD_1049,0
NDGRD_1050,0
NDGRD_1051,0
NDGRD_1052,0
NDGRD_1053,2.266194685
NDGRD_1054,9.005375627
NDGRD_1055,0
NDGRD_1056,0
NDGRD_1057,0
NDGRD_1058,0
NDGRD_1059,3.080972236
NDGRD_1060,0
NDGRD_1061,0
NDGRD_1062,52.67396879
NDGRD_1063,446.6221318
NDGRD_1064,116.5905443
NDGRD_1065,8.74035204
NDGRD_1066,86.08954851
NDGRD_1067,0
NDGRD_1068,29.56153889
NDGRD_1069,0
NDGRD_1070,0
NDGRD_1071,0
NDGRD_1072,0.655751232
NDGRD_1073,0
NDGRD_1074,2.241819838
NDGRD_1075,12.76553594
NDGRD_1076,0
NDGRD_1077,23.77884191
NDGRD_1078,3.100058535
NDGRD_1079,0
NDGRD_1080,1.433024055
NDGRD_1081,64.62435672
NDGRD_1082,1.53409605
NDGRD_1083,0
NDGRD_1084,0
NDGRD_1085,0
NDGRD_1086,0
NDGRD_1087,0
NDGRD_1088,0
NDGRD_1089,0
NDGRD_1090,0
NDGRD_1091,0
NDGRD_1092,0
NDGRD_1093,0
NDGRD_1094,0
NDGRD_1095,0
NDGRD_1096,0
NDGRD_1097,0
NDGRD_1098,0
NDGRD_1099,0
NDGRD_1100,0
NDGRD_1101,0
NDGRD_1102,0
NDGRD_1103,0
NDGRD_1104,0
NDGRD_1105,0
NDGRD_1106,1.67799123
NDGRD_1107,0
NDGRD_1108,0
NDGRD_1109,0
NDGRD_1110,0
NDGRD_1111,0
NDGRD_1112,0
NDGRD_1113,0
NDGRD_1114,0
NDGRD_1115,0
NDGRD_1116,0
NDGRD_1117,0
NDGRD_1118,0
NDGRD_1119,0
NDGRD_1120,0
NDGRD_1121,0
NDGRD_1122,0
NDGRD_1123,0
NDGRD_1124,0
NDGRD_1125,0
NDGRD_1126,0
NDGRD_1127,346.0451917
NDGRD_1128,189.3584862
NDGRD_1129,13.61763242
NDGRD_1130,0
NDGRD_1131,0
NDGRD_1132,0.843061071
NDGRD_1133,25.71619336
NDGRD_1134,0
NDGRD_1135,0
NDGRD_1136,0
NDGRD_1137,0
NDGRD_1138,0
NDGRD_1139,0
NDGRD_1140,0
NDGRD_1141,0
NDGRD_1142,0.80971574
NDGRD_1143,44.7406171
NDGRD_1144,3.768457652
NDGRD_1145,0
NDGRD_1146,0
NDGRD_1147,0
NDGRD_1148,20.67899029
NDGRD_1149,300.0482831
NDGRD_1150,0
NDGRD_1151,0
NDGRD_1152,0
NDGRD_1153,0
NDGRD_1154,0
NDGRD_1155,0
NDGRD_1156,0
NDGRD_1157,0
NDGRD_1158,0
NDGRD_1159,0
NDGRD_1160,0
NDGRD_1161,0
NDGRD_1162,9.774674196
NDGRD_1163,0
NDGRD_1164,0
NDGRD_1165,0
NDGRD_1166,0
NDGRD_1167,0
NDGRD_1168,31.49314484
NDGRD_1169,0
NDGRD_1170,0
